epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.1268,1.93573,3.99502,1.67826,0.17613,0.25288,0.15933,0.0846,1.23709,23.1791,1.08651,0.068836,0.00164021,0.00164021
2,44.345,1.69266,2.44219,1.4726,0.43228,0.48037,0.41826,0.21651,1.20819,18.3626,1.01569,0.0371366,0.00327414,0.00327414
3,66.3845,1.65235,2.04696,1.43268,0.52345,0.5192,0.50205,0.26126,1.17843,46.0274,1.01978,0.00540417,0.00487507,0.00487507
4,88.3568,1.64735,1.90054,1.41815,0.57608,0.47759,0.48099,0.24152,1.27447,24.7688,1.02123,0.0048515,0.0048515,0.0048515
5,110.075,1.60394,1.66669,1.40599,0.65589,0.52609,0.55538,0.26051,1.3176,7.06414,1.06835,0.004802,0.004802,0.004802
6,131.943,1.61605,1.59186,1.40694,0.56867,0.50581,0.52956,0.2466,1.31246,8.29842,1.05978,0.0047525,0.0047525,0.0047525
7,153.735,1.65354,1.58243,1.41002,0.5608,0.53626,0.54589,0.26946,1.29828,22.3285,1.06068,0.004703,0.004703,0.004703
8,175.848,1.64497,1.53328,1.39784,0.70344,0.58778,0.6541,0.31945,1.29202,5.44072,1.0467,0.0046535,0.0046535,0.0046535
9,197.769,1.57565,1.5106,1.39085,0.71853,0.56984,0.65645,0.32366,1.32149,20.3994,1.06268,0.004604,0.004604,0.004604
10,219.684,1.59788,1.49659,1.40116,0.61228,0.62141,0.62246,0.27954,1.38416,19.7386,1.10875,0.0045545,0.0045545,0.0045545
11,241.352,1.57629,1.46376,1.40665,0.65872,0.57528,0.62349,0.29735,1.28686,12.5311,1.05962,0.004505,0.004505,0.004505
12,263.059,1.60924,1.4227,1.40693,0.73706,0.58422,0.64952,0.31353,1.29502,38.482,1.05756,0.0044555,0.0044555,0.0044555
13,284.657,1.60617,1.39233,1.38089,0.63902,0.61458,0.6344,0.32107,1.2715,6.42841,1.04544,0.004406,0.004406,0.004406
14,306.34,1.58212,1.32779,1.38239,0.73367,0.63769,0.68428,0.3513,1.25694,10.8612,1.03941,0.0043565,0.0043565,0.0043565
15,328.241,1.58204,1.3288,1.37489,0.71111,0.69329,0.71582,0.36707,1.28855,23.5264,1.04013,0.004307,0.004307,0.004307
16,350.143,1.58895,1.34656,1.40216,0.74658,0.58507,0.63314,0.31816,1.30789,22.3764,1.06978,0.0042575,0.0042575,0.0042575
17,371.824,1.53937,1.26594,1.35167,0.67548,0.6879,0.69214,0.35153,1.26171,25.1426,1.03899,0.004208,0.004208,0.004208
18,393.743,1.54327,1.23875,1.35471,0.74781,0.6871,0.71261,0.34606,1.32271,22.2214,1.05744,0.0041585,0.0041585,0.0041585
19,415.395,1.50676,1.17246,1.32665,0.7368,0.67825,0.7142,0.36871,1.2776,19.9551,1.05153,0.004109,0.004109,0.004109
20,437.31,1.53558,1.22735,1.34874,0.77709,0.65745,0.71995,0.3779,1.23646,15.5292,1.0324,0.0040595,0.0040595,0.0040595
21,459.21,1.49762,1.18576,1.33449,0.75917,0.68741,0.73665,0.38282,1.25396,7.7148,1.03601,0.00401,0.00401,0.00401
22,481.144,1.51637,1.16726,1.35195,0.73716,0.68002,0.71944,0.3503,1.24966,19.2317,1.03262,0.0039605,0.0039605,0.0039605
23,502.851,1.52928,1.2043,1.34411,0.76495,0.71028,0.7522,0.39325,1.21177,8.41982,1.01454,0.003911,0.003911,0.003911
24,524.675,1.48133,1.14871,1.30948,0.75178,0.67995,0.7225,0.3656,1.23881,12.23,1.03084,0.0038615,0.0038615,0.0038615
25,546.332,1.53314,1.17054,1.34218,0.71874,0.69553,0.72921,0.37736,1.24661,21.7351,1.03414,0.003812,0.003812,0.003812
26,567.995,1.49659,1.15661,1.33333,0.75688,0.66168,0.72775,0.35432,1.36206,10.8232,1.10033,0.0037625,0.0037625,0.0037625
27,589.665,1.44587,1.08934,1.3003,0.75579,0.67253,0.72102,0.35344,1.32012,8.11973,1.09068,0.003713,0.003713,0.003713
28,611.547,1.45932,1.09268,1.29966,0.71389,0.68788,0.7142,0.38475,1.20204,9.96506,1.01016,0.0036635,0.0036635,0.0036635
29,633.212,1.4488,1.09977,1.3084,0.75337,0.67732,0.73043,0.36824,1.24321,15.3378,1.02698,0.003614,0.003614,0.003614
30,654.864,1.4823,1.10224,1.33091,0.79363,0.69736,0.75339,0.40061,1.20071,15.8547,1.02596,0.0035645,0.0035645,0.0035645
31,676.787,1.45674,1.06172,1.30269,0.8164,0.72624,0.77064,0.41812,1.20528,21.0584,1.02822,0.003515,0.003515,0.003515
32,698.744,1.45895,1.04077,1.29412,0.75851,0.7354,0.74576,0.39982,1.1812,28.9096,1.02475,0.0034655,0.0034655,0.0034655
33,720.41,1.44551,1.04453,1.30584,0.78486,0.67734,0.73649,0.3847,1.23695,15.9279,1.04154,0.003416,0.003416,0.003416
34,742.094,1.44054,1.04662,1.29437,0.81233,0.69408,0.74757,0.40549,1.17463,20.284,0.99027,0.0033665,0.0033665,0.0033665
35,763.69,1.43892,1.04033,1.29446,0.75697,0.7222,0.74677,0.39923,1.21223,12.8643,1.01259,0.003317,0.003317,0.003317
36,785.317,1.43709,1.01611,1.29741,0.74269,0.67317,0.71786,0.38439,1.23164,13.3582,1.01859,0.0032675,0.0032675,0.0032675
37,806.949,1.44594,1.06945,1.2941,0.77572,0.71166,0.75304,0.39825,1.26125,21.3593,1.0319,0.003218,0.003218,0.003218
38,828.65,1.43204,1.03426,1.28671,0.77557,0.72205,0.76509,0.42354,1.19737,9.83634,0.99976,0.0031685,0.0031685,0.0031685
39,850.743,1.41153,0.98186,1.26157,0.80552,0.70584,0.7575,0.41492,1.19659,10.2451,1.02962,0.003119,0.003119,0.003119
