epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1220.09,2.49573,3.44755,2.1798,0.62013,0.28505,0.32156,0.1285,2.45573,2.41797,2.08444,0.0700263,0.00333041,0.00333041
2,1598.54,2.09486,2.03702,1.85222,0.6332,0.34305,0.35169,0.149,2.46238,2.34928,2.04632,0.0398944,0.0065318,0.0065318
3,1975.88,2.11711,2.00976,1.86025,0.62285,0.32497,0.33951,0.1388,2.45297,2.38203,2.07011,0.00963041,0.00960119,0.00960119
4,2351.26,2.11173,1.99637,1.88045,0.70625,0.30581,0.3392,0.14715,2.49535,2.56324,2.14659,0.009406,0.009406,0.009406
5,2727.31,1.95526,1.75439,1.76239,0.7029,0.44264,0.4842,0.23548,2.10092,1.8416,1.81117,0.009208,0.009208,0.009208
6,3103.83,1.822,1.57367,1.6721,0.74031,0.50031,0.54465,0.29329,1.92276,1.67337,1.68213,0.00901,0.00901,0.00901
7,3480.99,1.71419,1.43628,1.59588,0.81405,0.49416,0.55946,0.30884,1.84853,1.56085,1.62754,0.008812,0.008812,0.008812
8,3856.98,1.62679,1.32527,1.53132,0.79072,0.52604,0.58631,0.33501,1.79367,1.45801,1.58638,0.008614,0.008614,0.008614
9,4233.19,1.57366,1.25244,1.49327,0.80647,0.54856,0.61183,0.36762,1.695,1.36915,1.53878,0.008416,0.008416,0.008416
10,4609.78,1.50161,1.1764,1.44173,0.81984,0.53978,0.61319,0.36927,1.68556,1.40187,1.52427,0.008218,0.008218,0.008218
11,4985.55,1.45259,1.1173,1.40908,0.78887,0.60161,0.65943,0.42387,1.55408,1.23102,1.42196,0.00802,0.00802,0.00802
12,5362.15,1.40274,1.05298,1.37191,0.78968,0.63083,0.68156,0.43903,1.51666,1.17456,1.39345,0.007822,0.007822,0.007822
13,5738.67,1.36255,1.02679,1.34893,0.75547,0.64132,0.68363,0.45443,1.46663,1.12673,1.36425,0.007624,0.007624,0.007624
14,6115.46,1.32595,0.9864,1.3272,0.84616,0.65245,0.69891,0.46682,1.42009,1.076,1.33629,0.007426,0.007426,0.007426
15,6491.82,1.29662,0.9569,1.30537,0.76491,0.65132,0.70004,0.48064,1.35866,1.05712,1.29616,0.007228,0.007228,0.007228
16,6868.98,1.25908,0.92165,1.27907,0.80202,0.66488,0.71165,0.48493,1.34059,1.0276,1.29122,0.00703,0.00703,0.00703
17,7245.65,1.2322,0.89925,1.25988,0.82411,0.67308,0.72508,0.50032,1.3183,0.98799,1.25885,0.006832,0.006832,0.006832
18,7622.04,1.21093,0.87243,1.24967,0.79481,0.68443,0.72639,0.50807,1.27096,0.94967,1.2438,0.006634,0.006634,0.006634
19,7998.51,1.17633,0.85235,1.23059,0.81584,0.69024,0.74011,0.53052,1.21972,0.92487,1.21108,0.006436,0.006436,0.006436
