epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3716.5,2.6023,3.93461,2.34058,0.54096,0.28061,0.27482,0.08821,2.62737,2.48256,2.18567,0.0683611,0.00166521,0.00166521
2,4100.91,2.19696,2.3728,1.98883,0.70147,0.34295,0.38073,0.16162,2.35327,2.14118,1.98813,0.0366614,0.00329889,0.00329889
3,4483.5,2.14427,2.16436,1.93335,0.73319,0.29592,0.32903,0.12063,2.67622,2.71046,2.24214,0.00492878,0.00489957,0.00489957
4,4864.34,2.12558,2.10342,1.92801,0.77002,0.40194,0.45924,0.19326,2.29201,2.02498,1.921,0.0048515,0.0048515,0.0048515
5,5244.88,2.04963,1.96113,1.86009,0.78529,0.4585,0.50482,0.22299,2.15469,1.76923,1.80931,0.004802,0.004802,0.004802
6,5625.53,1.9565,1.80773,1.78901,0.73566,0.48446,0.53113,0.24734,2.0735,1.66955,1.75811,0.0047525,0.0047525,0.0047525
7,6006.44,1.90262,1.70561,1.74629,0.81448,0.48283,0.54572,0.27741,1.98835,1.62224,1.68222,0.004703,0.004703,0.004703
8,6387.03,1.83689,1.61383,1.69551,0.7662,0.52446,0.58166,0.31353,1.87637,1.49995,1.61118,0.0046535,0.0046535,0.0046535
9,6767.7,1.78308,1.51467,1.65224,0.80946,0.52946,0.58733,0.30652,1.88311,1.4647,1.61934,0.004604,0.004604,0.004604
10,7147.61,1.75138,1.48657,1.63497,0.7955,0.56365,0.61136,0.32958,1.85767,1.38169,1.59617,0.0045545,0.0045545,0.0045545
11,7528.35,1.70872,1.42195,1.60259,0.8328,0.57855,0.63734,0.36425,1.74557,1.30294,1.515,0.004505,0.004505,0.004505
12,7908.71,1.67515,1.36927,1.57413,0.79893,0.59782,0.65774,0.38615,1.68536,1.23744,1.46023,0.0044555,0.0044555,0.0044555
13,8289.23,1.65813,1.33895,1.56371,0.80524,0.61057,0.6641,0.39233,1.66534,1.22932,1.45665,0.004406,0.004406,0.004406
14,8669.51,1.61337,1.29178,1.53431,0.79161,0.62124,0.6717,0.4025,1.63593,1.202,1.44404,0.0043565,0.0043565,0.0043565
15,9049.51,1.58607,1.25123,1.51129,0.83528,0.63281,0.68247,0.4154,1.60922,1.15458,1.41593,0.004307,0.004307,0.004307
16,9429.78,1.55995,1.2202,1.491,0.83125,0.64022,0.68937,0.43021,1.56168,1.12518,1.39724,0.0042575,0.0042575,0.0042575
17,9809.99,1.54387,1.18953,1.48102,0.73969,0.66858,0.70073,0.44299,1.52877,1.07926,1.36152,0.004208,0.004208,0.004208
18,10190.1,1.51955,1.17378,1.46201,0.83522,0.66166,0.70895,0.45489,1.48948,1.04797,1.32435,0.0041585,0.0041585,0.0041585
19,10570.3,1.50572,1.14646,1.45113,0.81111,0.66159,0.71672,0.46196,1.45237,1.03201,1.31758,0.004109,0.004109,0.004109
20,10950.2,1.48478,1.12584,1.43832,0.77679,0.66642,0.71312,0.46314,1.43839,1.00583,1.29924,0.0040595,0.0040595,0.0040595
21,11330.6,1.47648,1.12653,1.43028,0.77883,0.68446,0.72851,0.47356,1.42414,0.98645,1.29002,0.00401,0.00401,0.00401
22,11710.9,1.45227,1.09638,1.41596,0.78551,0.69369,0.73396,0.48668,1.39078,0.96875,1.27377,0.0039605,0.0039605,0.0039605
23,12091.3,1.44235,1.082,1.40279,0.77666,0.69468,0.73827,0.49436,1.36884,0.94365,1.25863,0.003911,0.003911,0.003911
24,12471.3,1.41941,1.05705,1.38972,0.75983,0.70766,0.74324,0.50228,1.32957,0.91618,1.23446,0.0038615,0.0038615,0.0038615
25,12851.3,1.40768,1.03959,1.38146,0.78229,0.7098,0.7513,0.51389,1.31127,0.8997,1.22415,0.003812,0.003812,0.003812
26,13231.3,1.40579,1.0432,1.37717,0.78698,0.71538,0.75373,0.51435,1.29654,0.89072,1.21797,0.0037625,0.0037625,0.0037625
27,13611.7,1.38852,1.01616,1.36346,0.80022,0.71622,0.763,0.52042,1.28191,0.87253,1.20697,0.003713,0.003713,0.003713
28,13991.7,1.37421,1.00294,1.35807,0.81042,0.72633,0.77239,0.53179,1.25505,0.85015,1.19141,0.0036635,0.0036635,0.0036635
29,14371.6,1.35847,0.99203,1.34926,0.79146,0.73216,0.77524,0.53441,1.24998,0.83858,1.19496,0.003614,0.003614,0.003614
30,14751.5,1.34705,0.97588,1.34191,0.79175,0.75151,0.78238,0.54492,1.22293,0.81594,1.17555,0.0035645,0.0035645,0.0035645
31,15131.6,1.33888,0.96667,1.33752,0.80721,0.74151,0.78471,0.54563,1.22456,0.80503,1.173,0.003515,0.003515,0.003515
32,15511.6,1.32703,0.96235,1.32434,0.7981,0.75763,0.7884,0.54891,1.2039,0.80273,1.16139,0.0034655,0.0034655,0.0034655
33,15891.2,1.32311,0.95697,1.32732,0.8015,0.75878,0.78805,0.55743,1.19295,0.78289,1.15324,0.003416,0.003416,0.003416
34,16271.3,1.31034,0.94381,1.31748,0.79305,0.76018,0.79317,0.56437,1.1795,0.78139,1.14793,0.0033665,0.0033665,0.0033665
35,16651,1.30619,0.9325,1.31143,0.81734,0.76307,0.8008,0.57195,1.15943,0.76397,1.13986,0.003317,0.003317,0.003317
36,17030.7,1.2853,0.91512,1.29718,0.80253,0.77106,0.80217,0.57403,1.1491,0.75257,1.13034,0.0032675,0.0032675,0.0032675
37,17410.3,1.28493,0.912,1.29527,0.8117,0.77302,0.80706,0.57838,1.13734,0.74334,1.12721,0.003218,0.003218,0.003218
38,17790.5,1.27643,0.90468,1.28936,0.82491,0.77846,0.81295,0.5823,1.12889,0.73835,1.11787,0.0031685,0.0031685,0.0031685
39,18170.8,1.26475,0.89036,1.28206,0.83162,0.77777,0.81416,0.58778,1.11991,0.72825,1.11421,0.003119,0.003119,0.003119
40,18551.3,1.25299,0.88511,1.28322,0.84923,0.76748,0.81506,0.58999,1.10943,0.72442,1.11218,0.0030695,0.0030695,0.0030695
41,18931.3,1.24773,0.87895,1.27472,0.84237,0.77691,0.81629,0.5945,1.09579,0.71541,1.10499,0.00302,0.00302,0.00302
