epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.7767,1.45188,2.53615,1.28558,0.30306,0.47501,0.28972,0.17636,1.455,2.92262,1.26987,0.00024543,0.00024543,0.00024543
2,73.2766,1.42019,1.74583,1.24526,0.48964,0.37945,0.37637,0.21586,1.561,1.9653,1.40634,0.000490051,0.000490051,0.000490051
3,116.993,1.43416,1.55852,1.28816,0.35253,0.48124,0.34711,0.18649,1.60499,2.43441,1.51362,0.000724593,0.000724593,0.000724593
4,156.843,1.46221,1.46093,1.30965,0.35039,0.41037,0.28489,0.1412,1.63774,4.67964,1.55014,0.000855005,0.000855005,0.000855005
5,196.74,1.4568,1.41316,1.27415,0.39275,0.42418,0.30786,0.16609,1.73362,3.47971,1.56981,0.000837007,0.000837007,0.000837007
6,236.532,1.39001,1.33966,1.29346,0.51035,0.44095,0.39158,0.2251,1.65333,2.05821,1.55311,0.000819009,0.000819009,0.000819009
7,278.475,1.39226,1.23981,1.26282,0.68031,0.43957,0.46933,0.28387,1.55388,3.189,1.45022,0.000801011,0.000801011,0.000801011
8,321.382,1.3502,1.24279,1.26257,0.61216,0.55412,0.57852,0.32024,1.56006,1.51569,1.44017,0.000783013,0.000783013,0.000783013
9,362.743,1.35606,1.17738,1.25215,0.63353,0.54382,0.58334,0.32685,1.53385,1.40377,1.40479,0.000765014,0.000765014,0.000765014
10,404.815,1.34275,1.10718,1.24609,0.62417,0.61006,0.5959,0.34823,1.49136,1.33626,1.3785,0.000747016,0.000747016,0.000747016
11,446.377,1.35475,1.11675,1.23413,0.73305,0.60187,0.67139,0.38615,1.51707,1.19233,1.37711,0.000729018,0.000729018,0.000729018
12,487.589,1.31165,1.06256,1.21778,0.73425,0.59902,0.669,0.38877,1.50756,1.23998,1.37591,0.00071102,0.00071102,0.00071102
13,528.488,1.28479,1.05656,1.20374,0.63984,0.64036,0.66,0.39399,1.45746,1.22562,1.34105,0.000693022,0.000693022,0.000693022
14,572.567,1.26594,1.01561,1.19542,0.69616,0.61568,0.68535,0.41613,1.43655,1.15123,1.32708,0.000675023,0.000675023,0.000675023
15,613.774,1.27124,0.98859,1.1971,0.69408,0.62894,0.67827,0.40732,1.47734,1.14642,1.34399,0.000657025,0.000657025,0.000657025
16,653.212,1.2456,0.94367,1.17702,0.69715,0.67308,0.70185,0.40884,1.47771,1.13629,1.37932,0.000639027,0.000639027,0.000639027
17,693.775,1.2139,0.92839,1.16292,0.69932,0.66074,0.69844,0.40769,1.45989,1.19135,1.35354,0.000621029,0.000621029,0.000621029
18,733.35,1.22799,0.92608,1.18222,0.71762,0.66745,0.68994,0.41971,1.44385,1.10728,1.33328,0.000603031,0.000603031,0.000603031
19,777.22,1.19116,0.90538,1.1562,0.74395,0.68795,0.73026,0.44016,1.45696,1.04461,1.35145,0.000585032,0.000585032,0.000585032
20,822.126,1.16683,0.8566,1.14241,0.7526,0.69515,0.73513,0.43936,1.45595,1.03578,1.3412,0.000567034,0.000567034,0.000567034
21,861.359,1.15716,0.8008,1.13649,0.76326,0.71504,0.76597,0.47578,1.42324,0.98213,1.32829,0.000549036,0.000549036,0.000549036
22,905.124,1.16688,0.79912,1.13865,0.79442,0.69669,0.7537,0.45908,1.43086,0.9762,1.32916,0.000531038,0.000531038,0.000531038
23,944.541,1.1418,0.78338,1.14005,0.80944,0.6712,0.73686,0.45396,1.40966,0.98745,1.34907,0.00051304,0.00051304,0.00051304
24,984.934,1.14143,0.78371,1.12583,0.76261,0.68206,0.72482,0.42454,1.49346,1.12294,1.37792,0.000495041,0.000495041,0.000495041
25,1023.41,1.13785,0.78164,1.11369,0.78488,0.69933,0.75526,0.46175,1.43125,1.00676,1.3451,0.000477043,0.000477043,0.000477043
26,1061.68,1.06774,0.72073,1.10088,0.78366,0.6813,0.75714,0.44599,1.42659,0.96843,1.3671,0.000459045,0.000459045,0.000459045
27,1101.64,1.06236,0.7016,1.08881,0.76324,0.70873,0.7542,0.44576,1.42013,0.97226,1.33868,0.000441047,0.000441047,0.000441047
28,1141.2,1.07161,0.72925,1.09812,0.79977,0.72735,0.77312,0.47376,1.41835,0.93993,1.34525,0.000423049,0.000423049,0.000423049
29,1180.67,1.08099,0.706,1.09726,0.78948,0.67543,0.75069,0.46398,1.4081,0.95919,1.32809,0.00040505,0.00040505,0.00040505
30,1219.18,1.06635,0.68479,1.10068,0.79568,0.68155,0.74994,0.47924,1.40101,0.97275,1.33225,0.000387052,0.000387052,0.000387052
31,1261.7,1.04828,0.68069,1.09476,0.80656,0.68024,0.75432,0.47848,1.43019,0.9746,1.34491,0.000369054,0.000369054,0.000369054
32,1301.16,1.02794,0.64726,1.07387,0.78144,0.70024,0.7662,0.45985,1.41317,0.93293,1.33423,0.000351056,0.000351056,0.000351056
33,1340.88,0.99547,0.63124,1.053,0.7949,0.71931,0.77793,0.48554,1.38866,0.92824,1.32828,0.000333058,0.000333058,0.000333058
34,1384.38,0.99813,0.61141,1.05692,0.80464,0.70291,0.76584,0.47656,1.39202,0.94044,1.33086,0.000315059,0.000315059,0.000315059
35,1424.34,0.99976,0.62796,1.06257,0.79522,0.68752,0.76771,0.47876,1.40352,0.93154,1.32605,0.000297061,0.000297061,0.000297061
36,1464.44,1.01109,0.63505,1.04818,0.80436,0.7189,0.77196,0.49021,1.38422,0.91049,1.30773,0.000279063,0.000279063,0.000279063
37,1508.65,0.97373,0.59103,1.04927,0.81573,0.7194,0.78431,0.49572,1.37621,0.87195,1.31415,0.000261065,0.000261065,0.000261065
38,1552.12,0.93374,0.56252,1.04127,0.77667,0.76221,0.79268,0.51188,1.37514,0.87816,1.31521,0.000243067,0.000243067,0.000243067
39,1596.49,0.94978,0.57575,1.03717,0.81326,0.75597,0.79694,0.49961,1.3852,0.86949,1.32475,0.000225068,0.000225068,0.000225068
40,1635.72,0.91892,0.55722,1.01816,0.78334,0.74677,0.78459,0.48986,1.3929,0.89869,1.34529,0.00020707,0.00020707,0.00020707
41,1678.47,0.91947,0.55605,1.02618,0.7522,0.75887,0.78313,0.48804,1.40601,0.8938,1.36089,0.000189072,0.000189072,0.000189072
42,1718.13,0.87241,0.50589,0.99574,0.78553,0.75713,0.7954,0.49284,1.39062,0.87676,1.34008,0.000171074,0.000171074,0.000171074
43,1757.93,0.8938,0.50522,1.01072,0.8365,0.73189,0.79639,0.50308,1.38824,0.86506,1.34528,0.000153076,0.000153076,0.000153076
44,1796.48,0.86197,0.46979,0.98264,0.82081,0.74646,0.79823,0.50799,1.37061,0.85975,1.33119,0.000135077,0.000135077,0.000135077
45,1835.15,0.85499,0.47252,0.98585,0.83029,0.74691,0.80634,0.5212,1.3718,0.85895,1.32768,0.000117079,0.000117079,0.000117079
46,1878.89,0.82283,0.45218,0.97178,0.85786,0.73032,0.80918,0.52402,1.36754,0.87395,1.3282,9.9081e-05,9.9081e-05,9.9081e-05
47,1921.19,0.81982,0.44466,0.97272,0.8585,0.73468,0.80249,0.51615,1.39184,0.86048,1.353,8.10828e-05,8.10828e-05,8.10828e-05
48,1961.72,0.80038,0.44247,0.96645,0.83586,0.74438,0.80261,0.51999,1.39447,0.86594,1.35494,6.30846e-05,6.30846e-05,6.30846e-05
49,2002.09,0.80567,0.42826,0.97506,0.80681,0.75733,0.80283,0.52112,1.38548,0.86017,1.34702,4.50864e-05,4.50864e-05,4.50864e-05
50,2042.76,0.79557,0.42913,0.95544,0.80315,0.77446,0.80959,0.52429,1.3829,0.85562,1.34625,2.70882e-05,2.70882e-05,2.70882e-05
